lower_word	1		louer_uord
the	2		<e	the
of	1		of
and	1		and
to	1		to
in	1		in
a	1		a
is	1		is
that	2		<at	that
for	1		for
as	1		as
it	1		it
be	1		be
by	1		by
with	2		ui<	uith
was	1		uas
on	1		on
not	1		not
or	1		or
this	2		<is	this
i	1		i
are	1		are
at	1		at
from	1		from
he	1		he
which	3		uhiC	uhikh	uhish
his	1		his
have	1		have
an	1		an
but	1		but
you	1		you
they	2		<ey	they
were	1		uere
had	1		had
we	1		ue
all	1		all
has	1		has
their	2		<eir	their
been	1		been
will	1		uill
there	2		<ere	there
can	2		kan	san
if	1		if
other	2		o<er	other
would	1		uould
no	1		no
her	1		her
may	1		may
more	1		more
when	1		uhen
so	1		so
its	1		its
who	1		uho
such	3		suC	sukh	sush
these	2		<ese	these
any	1		any
she	2		>e	she
new	1		neu
time	1		time
one	1		one
than	2		<an	than
do	1		do
some	1		some
what	1		uhat
only	1		only
into	1		into
them	2		<em	them
also	1		also
about	1		about
out	1		out
him	1		him
my	1		my
said	1		said
up	1		up
our	1		our
first	1		first
should	2		>ould	should
under	1		under
made	1		made
state	1		state
see	1		see
after	1		after
could	2		kould	sould
then	2		<en	then
me	1		me
most	1		most
over	1		over
very	1		very
your	1		your
between	1		betueen
where	1		uhere
now	1		nou
mr.	1		mr.
shall	2		>all	shall
work	1		uork
those	2		<ose	those
s	1		s
same	1		same
well	1		uell
each	3		eaC	eakh	eash
many	1		many
being	1		being
years	1		years
did	1		did
year	1		year
through	2		<rough	through
must	1		must
upon	1		upon
before	1		before
like	1		like
use	1		use
part	1		part
general	1		general
people	1		people
because	2		bekause	besause
used	1		used
how	1		hou
even	1		even
two	1		tuo
much	3		muC	mukh	mush
states	1		states
during	1		during
both	2		bo<	both
case	2		kase	sase
number	1		number
make	1		make
per	1		per
great	1		great
act	2		akt	ast
way	1		uay
life	1		life
good	1		good
day	1		day
public	2		publik	publis
man	1		man
however	1		houever
system	1		system
water	1		uater
without	2		ui<out	uithout
us	1		us
p	1		p
government	1		government
while	1		uhile
long	1		long
order	1		order
law	1		lau
section	2		sektion	sestion
court	2		kourt	sourt
c	2		k	s
high	1		high
right	1		right
own	1		oun
found	1		found
united	1		united
just	1		just
here	1		here
against	1		against
world	1		uorld
does	1		does
company	2		kompany	sompany
j.	1		j.
within	2		ui<in	uithin
b	1		b
given	1		given
service	2		servike	servise
a.	1		a.
house	1		house
another	2		ano<er	another
power	1		pouer
place	2		plake	plase
know	1		knou
little	1		little
down	1		doun
present	1		present
every	1		every
national	1		national
back	3		bak	bakk	bask
take	1		take
information	1		information
men	1		men
since	2		sinke	sinse
might	1		might
small	1		small
large	1		large
v.	1		v.
school	3		sCool	skhool	sshool
following	1		follouing
still	1		still
less	1		less
last	1		last
city	2		kity	sity
second	2		sekond	sesond
american	2		amerikan	amerisan
development	1		development
different	1		different
university	1		university
york	1		york
old	1		old
form	1		form
point	1		point
total	1		total
data	1		data
too	1		too
committee	2		kommittee	sommittee
no.	1		no.
report	1		report
business	1		business
s.	1		s.
think	2		<ink	think
end	1		end
get	1		get
set	1		set
c.	2		k.	s.
research	3		researC	researkh	researsh
say	1		say
come	2		kome	some
country	2		kountry	sountry
never	1		never
fact	2		fakt	fast
go	1		go
control	2		kontrol	sontrol
children	3		Cildren	khildren	shildren
thus	2		<us	thus
having	1		having
value	1		value
social	2		sokial	sosial
department	1		department
d	1		d
few	1		feu
above	1		above
important	1		important
interest	1		interest
study	1		study
off	1		off
area	1		area
means	1		means
office	2		offike	offise
group	1		group
give	1		give
again	1		again
war	1		uar
whether	2		uhe<er	uhether
question	1		kuestion
called	2		kalled	salled
m.	1		m.
period	1		period
three	2		<ree	three
land	1		land
line	1		line
among	1		among
table	1		table
board	1		board
until	1		until
hand	1		hand
taken	1		taken
need	1		need
education	2		edukation	edusation
john	1		john
certain	2		kertain	sertain
county	2		kounty	sounty
action	2		aktion	astion
r.	1		r.
several	1		several
de	1		de
am	1		am
god	1		god
course	2		kourse	sourse
cases	2		kases	sases
far	1		far
effect	2		effekt	effest
possible	1		possible
though	2		<ough	though
left	1		left
further	2		fur<er	further
home	1		home
h.	1		h.
days	1		days
person	1		person
w.	1		u.
health	2		heal<	health
amount	1		amount
members	1		members
subject	2		subjekt	subjest
yet	1		yet
program	1		program
therefore	2		<erefore	therefore
process	2		prokess	prosess
services	2		servikes	servises
rate	1		rate
local	2		lokal	losal
e	1		e
name	1		name
find	1		find
necessary	2		nekessary	nesessary
often	1		often
others	2		o<ers	others
whole	1		uhole
change	3		Cange	khange	shange
example	2		eksample	ezample
president	1		president
e.	1		e.
co.	2		ko.	so.
history	1		history
best	1		best
although	2		al<ough	although
u.s.	1		u.s.
family	1		family
side	1		side
women	1		uomen
held	1		held
based	1		based
south	2		sou<	south
special	2		spekial	spesial
required	1		rekuired
came	2		kame	same
thought	2		<ought	thought
always	1		aluays
himself	1		himself
air	1		air
known	1		knoun
head	1		head
either	2		ei<er	either
property	1		property
cost	2		kost	sost
rather	2		ra<er	rather
bill	1		bill
put	1		put
human	1		human
figure	1		figure
results	1		results
level	1		level
conditions	2		konditions	sonditions
full	1		full
times	1		times
book	1		book
available	1		available
early	1		early
matter	1		matter
common	2		kommon	sommon
light	1		light
let	1		let
society	2		sokiety	sosiety
body	1		body
international	1		international
including	2		inkluding	insluding
free	1		free
evidence	2		evidenke	evidense
better	1		better
m	1		m
type	1		type
et	1		et
provided	1		provided
due	1		due
next	2		nekst	nezt
production	2		produktion	produstion
once	2		onke	onse
done	1		done
making	1		making
least	1		least
support	1		support
north	2		nor<	north
later	1		later
using	1		using
things	2		<ings	things
economic	4		ekonomik	ekonomis	esonomik	esonomis
l.	1		l.
ii	1		ii
chapter	3		Capter	khapter	shapter
various	1		various
why	1		uhy
white	1		uhite
going	1		going
commission	2		kommission	sommission
federal	1		federal
away	1		auay
field	1		field
result	1		result
t	1		t
nature	1		nature
policy	2		poliky	polisy
d.	1		d.
become	2		bekome	besome
political	2		politikal	politisal
increase	2		inkrease	insrease
around	1		around
age	1		age
al	1		al
want	1		uant
low	1		lou
trade	1		trade
half	1		half
position	1		position
n	1		n
young	1		young
money	1		money
percent	2		perkent	persent
l	1		l
class	2		klass	slass
b.	1		b.
cent	2		kent	sent
p.	1		p.
words	1		uords
view	1		vieu
provide	1		provide
seen	1		seen
show	2		>ou	shou
district	2		distrikt	distrist
party	1		party
london	1		london
analysis	1		analysis
care	2		kare	sare
june	1		june
foreign	1		foreign
shown	2		>oun	shoun
received	2		rekeived	reseived
management	1		management
third	2		<ird	third
took	1		took
something	2		some<ing	something
tax	2		taks	taz
account	4		akkount	aksount	askount	assount
problem	1		problem
almost	1		almost
west	1		uest
nothing	2		no<ing	nothing
together	2		toge<er	together
death	2		dea<	death
individual	1		individual
church	9		CurC	Curkh	Cursh	khurC	khurkh	khursh	shurC	shurkh	shursh
open	1		open
material	1		material
paper	1		paper
feet	1		feet
force	2		forke	forse
association	2		assokiation	assosiation
purpose	1		purpose
terms	1		terms
method	2		me<od	method
help	1		help
real	1		real
already	1		already
ever	1		ever
along	1		along
child	3		Cild	khild	shild
went	1		uent
term	1		term
systems	1		systems
english	2		engli>	english
member	1		member
particular	2		partikular	partisular
problems	1		problems
energy	1		energy
secretary	2		sekretary	sesretary
date	1		date
price	2		prike	prise
short	2		>ort	short
true	1		true
street	1		street
building	1		building
room	1		room
market	1		market
look	1		look
similar	1		similar
industry	1		industry
areas	1		areas
bank	1		bank
according	4		akkording	aksording	askording	assording
itself	1		itself
studies	1		studies
application	2		applikation	applisation
current	2		kurrent	surrent
read	1		read
press	1		press
community	2		kommunity	sommunity
plan	1		plan
whose	1		uhose
major	1		major
considered	2		konsidered	sonsidered
st.	1		st.
mind	1		mind
union	1		union
cause	2		kause	sause
able	1		able
surface	2		surfake	surfase
face	2		fake	fase
river	1		river
x	2		ks	z
council	4		kounkil	kounsil	sounkil	sounsil
income	2		inkome	insome
july	1		july
lord	1		lord
near	1		near
experience	4		eksperienke	eksperiense	ezperienke	ezperiense
pay	1		pay
paid	1		paid
